благи€
военно-морски€
воровски€
всеблаги€
ги€
городски€
день-деньски€
донски€
дороги€
други€
заводски€
изги€
каки€
какой-никаки€
кое-каки€
ки€
кой-каки€
колдовски€
костромски€
людски€
мирски€
морски€
мужски€
наги€
недороги€
никаки€
ники€
общегородски€
плутовски€
поварски€
поки€
–уцки€
складски€
слободски€
споки€
сумски€
с€ки€
таки€
такой-с€ки€
тверски€
“рубецки€
туги€
украдки€
упоки€
фабрично-заводски€
хуторски€
чудски€
чусовски€
Ўвыдки€
шутовски€
щегольски€
€мски€
