благия
военно-морския
воровския
всеблагия
гия
городския
день-деньския
донския
дорогия
другия
заводския
изгия
какия
какой-никакия
кое-какия
кия
кой-какия
колдовския
костромския
людския
мирския
морския
мужския
нагия
недорогия
никакия
никия
общегородския
плутовския
поварския
покия
Руцкия
складския
слободския
спокия
сумския
сякия
такия
такой-сякия
тверския
Трубецкия
тугия
украдкия
упокия
фабрично-заводския
хуторския
чудския
чусовския
Швыдкия
шутовския
щегольския
ямския
